kode,nama,program_kode,anggaran,satuan_kerja,satuan_kerja_id
4.01.02.1.02,Fasilitasi Reformasi Birokrasi dan Akuntabilitas Kinerja,4.01.02,2926243798,Sekretariat Daerah,1001
4.02.02.1.01,Pembentukan Perda dan Peraturan DPRD,4.02.02,2398523360,Sekretariat Dewan Perwakilan Rakyat Daerah,1002
2.16.02.1.01,Pengelolaan Informasi dan Komunikasi Publik Pemerintah Daerah Provinsi,2.16.02,75741500783,Dinas Komunikasi dan Informatika,1022
6.01.01.1.05,Administrasi Kepegawaian Perangkat Daerah,6.01.01,510840000,Inspektorat,1025
2.13.01.1.07,Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah,2.13.01,650417826,Dinas Pemberdayaan Masyarakat dan Desa,1042
3.29.01.1.02,Administrasi Keuangan Perangkat Daerah,3.29.01,54420258648,Dinas Energi dan Sumber Daya Mineral,1013
3.29.01.1.06,Administrasi Umum Perangkat Daerah,3.29.01,3496513878,Dinas Energi dan Sumber Daya Mineral,1013
3.27.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,3.27.01,5314696231,Dinas Perkebunan,1020
2.20.02.1.01,Penyelenggaraan Statistik Sektoral di Lingkup Daerah Provinsi,2.20.02,2425446624,Dinas Komunikasi dan Informatika,1022
2.11.01.1.02,Administrasi Keuangan Perangkat Daerah,2.11.01,30950742615,Dinas Lingkungan Hidup,1034
5.04.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,5.04.01,9287186092,Badan Pengembangan Sumber Daya Manusia,1031
3.30.07.1.02,Pelaksanaan Pemasaran Penggunaan Produk Dalam Negeri,3.30.07,0,Dinas Perindustrian dan Perdagangan,1015
4.01.03.1.01,Pelaksanaan Tugas Pemerintahan,4.01.03,1123832442,Sekretariat Daerah,1001
3.25.03.1.10,"Pendaftaran Kapal Perikanan Berukuran sampai dengan 10 GT yang Beroperasi di Laut, Sungai, Danau, Waduk, Rawa, dan Genangan Air Lainnya yang dapat diusahakan Lintas Kabupaten/Kota dalam 1 (satu) Daerah Provinsi",3.25.03,179867400,Dinas Kelautan dan Perikanan,1018
4.02.01.1.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah",4.02.01,4290583395,Sekretariat Dewan Perwakilan Rakyat Daerah,1002
