kode,nama,satuan_kerja,anggaran,satuan_kerja_id
2.17.08,PROGRAM PENGEMBANGAN UMKM,Dinas Koperasi dan Usaha Kecil,6686491700,1014
2.18.05,PROGRAM PENGENDALIAN PELAKSANAAN PENANAMAN MODAL,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,1048391000,1046
3.27.03,PROGRAM PENYEDIAAN DAN PENGEMBANGAN PRASARANA PERTANIAN,Dinas Perkebunan,4891605118,1020
3.27.06,PROGRAM PERIZINAN USAHA PERTANIAN,Dinas Tanaman Pangan dan Hortikultura,133770836,1016
1.05.03,PROGRAM PENANGGULANGAN BENCANA,Badan Penanggulangan Bencana Daerah,9497804847,1080
2.13.03,PROGRAM PENINGKATAN KERJASAMA DESA,Dinas Pemberdayaan Masyarakat dan Desa,513312000,1042
3.29.02,PROGRAM PENGELOLAAN ASPEK KEGEOLOGIAN,Dinas Energi dan Sumber Daya Mineral,1626864987,1013
2.15.03,PROGRAM PENGELOLAAN PELAYARAN,Dinas Perhubungan,890000000,1008
2.12.04,PROGRAM PENGELOLAAN INFORMASI ADMINISTRASI KEPENDUDUKAN,Dinas Kependudukan dan Pencatatan Sipil,565818138,1023
2.16.03,PROGRAM PENGELOLAAN APLIKASI INFORMATIKA,Dinas Komunikasi dan Informatika,107388624925,1022
4.01.07,PROGRAM KEBIJAKAN DAN PELAYANAN PENGADAAN BARANG DAN JASA,Sekretariat Daerah,4052467320,1001
2.10.10,PROGRAM PENATAGUNAAN TANAH,Dinas Perumahan dan Permukiman,725000000,1012
3.28.04,PROGRAM KONSERVASI SUMBER DAYA ALAM HAYATI DAN EKOSISTEMNYA,Dinas Kehutanan,500382228,1019
1.06.07,PROGRAM PENGELOLAAN TAMAN MAKAM PAHLAWAN,Dinas Sosial,1119861336,1006
2.11.02,PROGRAM PERENCANAAN LINGKUNGAN HIDUP,Dinas Lingkungan Hidup,930455520,1034
8.01.04,PROGRAM PEMBERDAYAAN DAN PENGAWASAN ORGANISASI KEMASYARAKATAN,Badan Kesatuan Bangsa dan Politik,9158152320,1035
1.03.08,PROGRAM PENATAAN BANGUNAN GEDUNG,Dinas Perumahan dan Permukiman,88686688890,1012
2.14.02,PROGRAM PENGENDALIAN PENDUDUK,"Dinas Pemberdayaan Perempuan, Perlindungan Anak, dan Keluarga Berencana",10375000000,1041
2.20.02,PROGRAM PENYELENGGARAAN STATISTIK SEKTORAL,Dinas Komunikasi dan Informatika,2425446624,1022
5.05.02,PROGRAM PENELITIAN DAN PENGEMBANGAN DAERAH,Badan Penelitian dan Pengembangan Daerah,3027860000,1045
3.29.06,PROGRAM PENGELOLAAN KETENAGALISTRIKAN,Dinas Energi dan Sumber Daya Mineral,3176397471,1013
