kode,nama,satuan_kerja,anggaran,satuan_kerja_id
2.19.03,PROGRAM PENGEMBANGAN DAYA SAING KEOLAHRAGAAN,Dinas Pemuda dan Olahraga,200732443616,1021
3.27.07,PROGRAM PENYULUHAN PERTANIAN,Dinas Tanaman Pangan dan Hortikultura,84820622364,1016
2.07.05,PROGRAM HUBUNGAN INDUSTRIAL,Dinas Tenaga Kerja dan Transmigrasi,1907782610,1007
1.01.02,PROGRAM PENGELOLAAN PENDIDIKAN,Dinas Pendidikan,5837198217205,1003
8.01.06,PROGRAM PENINGKATAN KEWASPADAAN NASIONAL DAN PENINGKATAN KUALITAS DAN FASILITASI PENANGANAN KONFLIK SOSIAL,Badan Kesatuan Bangsa dan Politik,1168000000,1035
2.14.04,PROGRAM PEMBERDAYAAN DAN PENINGKATAN KELUARGA SEJAHTERA (KS),"Dinas Pemberdayaan Perempuan, Perlindungan Anak, dan Keluarga Berencana",9481427800,1041
2.12.03,PROGRAM PENCATATAN SIPIL,Dinas Kependudukan dan Pencatatan Sipil,385454830,1023
2.15.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Perhubungan,84980978826,1008
4.01.06,PROGRAM PEREKONOMIAN DAN PEMBANGUNAN,Sekretariat Daerah,6218221830,1001
1.06.06,PROGRAM PENANGANAN BENCANA,Dinas Sosial,7956851117,1006
3.27.03,PROGRAM PENYEDIAAN DAN PENGEMBANGAN PRASARANA PERTANIAN,Dinas Tanaman Pangan dan Hortikultura,7983534374,1016
3.27.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Tanaman Pangan dan Hortikultura,159908623877,1016
1.02.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Kesehatan,1096419576246,1004
2.18.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,35220127251,1046
3.25.04,PROGRAM PENGELOLAAN PERIKANAN BUDIDAYA,Dinas Kelautan dan Perikanan,16427793016,1018
5.02.04,PROGRAM PENGELOLAAN PENDAPATAN DAERAH,Badan Pendapatan Daerah,17847853030,1005
1.04.03,PROGRAM KAWASAN PERMUKIMAN,Dinas Perumahan dan Permukiman,10533460000,1012
2.07.03,PROGRAM PELATIHAN KERJA DAN PRODUKTIVITAS TENAGA KERJA,Dinas Tenaga Kerja dan Transmigrasi,4305838751,1007
1.03.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Bina Marga dan Penataan Ruang,131137688070,1010
8.01.02,PROGRAM PENGUATAN IDEOLOGI PANCASILA DAN KARAKTER KEBANGSAAN,Badan Kesatuan Bangsa dan Politik,1226632000,1035
2.08.03,PROGRAM PERLINDUNGAN PEREMPUAN,"Dinas Pemberdayaan Perempuan, Perlindungan Anak, dan Keluarga Berencana",686858650,1041
8.01.03,PROGRAM PENINGKATAN PERAN PARTAI POLITIK DAN LEMBAGA PENDIDIKAN MELALUI PENDIDIKAN POLITIK DAN PENGEMBANGAN ETIKA SERTA BUDAYA POLITIK,Badan Kesatuan Bangsa dan Politik,76406506333,1035
3.30.06,PROGRAM STANDARDISASI DAN PERLINDUNGAN KONSUMEN,Dinas Perindustrian dan Perdagangan,8081198676,1015
2.12.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Kependudukan dan Pencatatan Sipil,12975502481,1023
1.06.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Sosial,108005984973,1006
3.27.05,PROGRAM PENGENDALIAN DAN PENANGGULANGAN BENCANA PERTANIAN,Dinas Perkebunan,2983336975,1020
3.27.02,PROGRAM PENYEDIAAN DAN PENGEMBANGAN SARANA PERTANIAN,Dinas Ketahanan Pangan dan Peternakan,27180082571,1017
2.17.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Koperasi dan Usaha Kecil,37355502989,1014
4.01.05,PROGRAM FASILITASI DAN KOORDINASI HUKUM,Sekretariat Daerah,6226011829,1001
3.29.03,PROGRAM PENGELOLAAN MINERAL DAN BATUBARA,Dinas Energi dan Sumber Daya Mineral,1473470630,1013
1.03.03,PROGRAM PENGELOLAAN DAN PENGEMBANGAN SISTEM PENYEDIAAN AIR MINUM,Dinas Perumahan dan Permukiman,7100000000,1012
2.08.04,PROGRAM PENINGKATAN KUALITAS KELUARGA,"Dinas Pemberdayaan Perempuan, Perlindungan Anak, dan Keluarga Berencana",64800000,1041
1.02.03,PROGRAM PENINGKATAN KAPASITAS SUMBER DAYA MANUSIA KESEHATAN,Dinas Kesehatan,183594069383,1004
2.13.05,"PROGRAM PEMBERDAYAAN LEMBAGA KEMASYARAKATAN, LEMBAGA ADAT DAN MASYARAKAT HUKUM ADAT",Dinas Pemberdayaan Masyarakat dan Desa,37106857480,1042
2.15.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Badan Penghubung,4727554210,1043
3.27.07,PROGRAM PENYULUHAN PERTANIAN,Dinas Perkebunan,6782083911,1020
3.26.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Pariwisata dan Kebudayaan,43472268526,1009
3.27.05,PROGRAM PENGENDALIAN DAN PENANGGULANGAN BENCANA PERTANIAN,Dinas Tanaman Pangan dan Hortikultura,30438118581,1016
2.18.06,PROGRAM PENGELOLAAN DATA DAN SISTEM INFORMASI PENANAMAN MODAL,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,524941840,1046
2.21.02,PROGRAM PENYELENGGARAAN PERSANDIAN UNTUK PENGAMANAN INFORMASI,Dinas Komunikasi dan Informatika,1808478228,1022
3.27.02,PROGRAM PENYEDIAAN DAN PENGEMBANGAN SARANA PERTANIAN,Dinas Tanaman Pangan dan Hortikultura,2516845405,1016
3.30.07,PROGRAM PENGGUNAAN DAN PEMASARAN PRODUK DALAM NEGERI,Dinas Perindustrian dan Perdagangan,1025128000,1015
2.19.04,PROGRAM PENGEMBANGAN KAPASITAS KEPRAMUKAAN,Dinas Pemuda dan Olahraga,6995000000,1021
5.03.02,PROGRAM KEPEGAWAIAN DAERAH,Badan Kepegawaian Daerah,16646449950,1030
3.30.04,PROGRAM STABILISASI HARGA BARANG KEBUTUHAN POKOK DAN BARANG PENTING,Dinas Perindustrian dan Perdagangan,15724021120,1015
3.31.01,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH PROVINSI,Dinas Perindustrian dan Perdagangan,76804529736,1015
3.32.03,PROGRAM PEMBANGUNAN KAWASAN TRANSMIGRASI,Dinas Tenaga Kerja dan Transmigrasi,343688300,1007
