kode,nama,anggaran,kegiatan_kode,satuan_kerja,satuan_kerja_id
3.25.01.1.07.06,Pengadaan Peralatan dan Mesin Lainnya,21576700,3.25.01.1.07,Dinas Kelautan dan Perikanan,1018
3.25.01.1.07.10,Pengadaan Sarana dan Prasarana Gedung Kantor atau Bangunan Lainnya,472347857,3.25.01.1.07,Dinas Kelautan dan Perikanan,1018
3.25.01.1.07.11,Pengadaan Sarana dan Prasarana Pendukung Gedung Kantor atau Bangunan Lainnya,200420000,3.25.01.1.07,Dinas Kelautan dan Perikanan,1018
3.26.01.1.07.05,Pengadaan Mebel,14524550,3.26.01.1.07,Dinas Pariwisata dan Kebudayaan,1009
3.26.01.1.07.06,Pengadaan Peralatan dan Mesin Lainnya,240919600,3.26.01.1.07,Dinas Pariwisata dan Kebudayaan,1009
3.27.01.1.07.11,Pengadaan Sarana dan Prasarana Pendukung Gedung Kantor atau Bangunan Lainnya,252577500,3.27.01.1.07,Dinas Tanaman Pangan dan Hortikultura,1016
3.28.01.1.07.11,Pengadaan Sarana dan Prasarana Pendukung Gedung Kantor atau Bangunan Lainnya,60680000,3.28.01.1.07,Dinas Kehutanan,1019
3.29.01.1.07.06,Pengadaan Peralatan dan Mesin Lainnya,588116144,3.29.01.1.07,Dinas Energi dan Sumber Daya Mineral,1013
3.31.01.1.07.11,Pengadaan Sarana dan Prasarana Pendukung Gedung Kantor atau Bangunan Lainnya,35853000,3.31.01.1.07,Dinas Perindustrian dan Perdagangan,1015
5.01.01.1.07.05,Pengadaan Mebel,125541120,5.01.01.1.07,Badan Perencanaan Pembangunan Daerah,1026
5.02.01.1.07.06,Pengadaan Peralatan dan Mesin Lainnya,962030350,5.02.01.1.07,Badan Pengelolaan Keuangan dan Aset Daerah,1024
5.02.01.1.07.06,Pengadaan Peralatan dan Mesin Lainnya,3749337293,5.02.01.1.07,Badan Pendapatan Daerah,1005
5.02.01.1.07.09,Pengadaan Gedung Kantor atau Bangunan Lainnya,211999600,5.02.01.1.07,Badan Pendapatan Daerah,1005
5.02.01.1.07.10,Pengadaan Sarana dan Prasarana Gedung Kantor atau Bangunan Lainnya,5676550000,5.02.01.1.07,Badan Pendapatan Daerah,1005
5.02.01.1.07.11,Pengadaan Sarana dan Prasarana Pendukung Gedung Kantor atau Bangunan Lainnya,1200000,5.02.01.1.07,Badan Pendapatan Daerah,1005
5.03.01.1.07.11,Pengadaan Sarana dan Prasarana Pendukung Gedung Kantor atau Bangunan Lainnya,517533273,5.03.01.1.07,Badan Kepegawaian Daerah,1030
5.04.01.1.07.11,Pengadaan Sarana dan Prasarana Pendukung Gedung Kantor atau Bangunan Lainnya,142439180,5.04.01.1.07,Badan Pengembangan Sumber Daya Manusia,1031
1.01.01.1.08.01,Penyediaan Jasa Surat Menyurat,114000000,1.01.01.1.08,Dinas Pendidikan,1003
1.01.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",7261726647,1.01.01.1.08,Dinas Pendidikan,1003
1.01.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,168000000,1.01.01.1.08,Dinas Pendidikan,1003
1.01.01.1.08.04,Penyediaan Jasa Pelayanan Umum Kantor,8276598274,1.01.01.1.08,Dinas Pendidikan,1003
1.02.01.1.08.02,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",9393289125,1.02.01.1.08,Dinas Kesehatan,1004
1.02.01.1.08.03,Penyediaan Jasa Peralatan dan Perlengkapan Kantor,3000000000,1.02.01.1.08,Dinas Kesehatan,1004
